32, 106
33, 33
34, 34
35, 35
36, 36
37, 37
38, 38
39, 39
40, 40
41, 41
42, 42
43, 43
44, 75
45, 45
46, 78
47, 47
48, 48
49, 49
50, 50
51, 51
52, 52
53, 53
54, 54
55, 55
56, 56
57, 57
58, 58
59, 59
60, 60
61, 61
62, 62
63, 63
64, 64
65, 46
66, 120
67, 113
68, 99
69, 44
70, 110
71, 98
72, 72
73, 121
74, 117
75, 86
76, 103
77, 79
78, 97
79, 71
80, 83
81, 65
82, 116
83, 67
84, 114
85, 105
86, 81
87, 73
88, 70
89, 100
90, 66
91, 91
92, 92
93, 93
94, 94
95, 95
96, 96
97, 82
98, 74
99, 76
100, 85
101, 88
102, 122
103, 87
104, 77
105, 119
106, 84
107, 115
108, 112
109, 68
110, 104
111, 109
112, 111
113, 108
114, 32
115, 80
116, 69
117, 101
118, 118
119, 89
120, 90
121, 102
122, 107
123, 123
124, 124
125, 125
126, 126
127, 127
