0, 1
1, 3
2, 1
3, 4
4, 3
5, 1
6, 5
7, 2
8, 3
9, 2
10, 4
11, 3
12, 4
13, 0
14, 2
15, 2
16, 2
17, 3
18, 1
19, 3
20, 7
21, 5
22, 6
23, 5
24, 2
25, 4
26, 0
27, 0
28, 4
29, 3
30, 2
31, 2
32, 5
33, 4
34, 3
35, 5
36, 3
37, 0
38, 5
39, 3
40, 1
41, 4
42, 1
43, 2
44, 4
45, 4
46, 6
47, 3
48, 4
49, 3
50, 2
51, 2
52, 7
53, 3
54, 6
55, 2
56, 3
57, 2
58, 2
59, 3
60, 7
61, 1
62, 7
63, 3
64, 3
65, 2
66, 3
67, 5
68, 1
69, 2
70, 4
71, 0
72, 4
73, 4
74, 3
75, 1
76, 4
77, 4
78, 4
79, 2
80, 3
81, 6
82, 4
83, 5
84, 1
85, 2
86, 1
87, 2
88, 3
89, 3
90, 3
91, 3
92, 6
93, 0
94, 1
95, 5
96, 2
97, 1
98, 2
99, 1
100, 6
101, 2
102, 4
103, 4
104, 2
105, 6
106, 3
107, 6
108, 3
109, 3
110, 0
111, 3
112, 4
113, 7
114, 6
115, 2
116, 6
117, 1
118, 1
119, 3
120, 3
121, 4
122, 2
123, 3
124, 2
125, 2
126, 1
127, 6
128, 3
129, 6
130, 2
131, 1
132, 2
133, 2
134, 3
135, 6
136, 2
137, 5
138, 1
139, 4
140, 1
141, 6
142, 6
143, 4
144, 4
145, 1
146, 0
147, 4
148, 3
149, 3
150, 4
151, 3
152, 5
153, 2
154, 4
155, 5
156, 2
157, 4
158, 4
159, 5
160, 2
161, 1
162, 2
163, 1
164, 9
165, 4
166, 3
167, 5
168, 0
169, 3
170, 1
171, 5
172, 2
173, 4
174, 1
175, 2
176, 2
177, 3
178, 4
179, 2
180, 3
181, 2
182, 3
183, 1
184, 6
185, 3
186, 0
187, 6
188, 1
189, 4
190, 1
191, 3
192, 3
193, 3
194, 5
195, 4
196, 6
197, 4
198, 2
199, 3
200, 2
201, 3
202, 3
203, 2
204, 3
205, 4
206, 3
207, 4
208, 3
209, 2
210, 4
211, 4
212, 1
213, 3
214, 6
215, 2
216, 3
217, 1
218, 7
219, 5
220, 1
221, 4
222, 0
223, 3
224, 2
225, 5
226, 0
227, 0
228, 0
229, 2
230, 2
231, 4
232, 2
233, 3
234, 2
235, 3
236, 2
237, 4
238, 1
239, 1
240, 3
241, 1
242, 2
243, 4
244, 1
245, 5
246, 4
247, 2
248, 4
249, 0
250, 3
251, 4
252, 4
253, 2
254, 2
255, 1
